longitude,latitude,year,month,day,hour,PV_power,WS10m
-4.48333,48.400002,2022,01,01,00,0.0,8.97
-4.48333,48.400002,2022,01,01,01,0.0,8.83
-4.48333,48.400002,2022,01,01,02,0.0,8.62
-4.48333,48.400002,2022,01,01,03,0.0,8.41
-4.48333,48.400002,2022,01,01,04,0.0,8.21
-4.48333,48.400002,2022,01,01,05,0.0,8.07
-4.48333,48.400002,2022,01,01,06,0.0,8.07
-4.48333,48.400002,2022,01,01,07,0.0,7.72
-4.48333,48.400002,2022,01,01,08,0.0,7.38
-4.48333,48.400002,2022,01,01,09,3.34,7.45
-4.48333,48.400002,2022,01,01,10,19.29,7.38
-4.48333,48.400002,2022,01,01,11,97.3,7.45
-4.48333,48.400002,2022,01,01,12,54.91,7.38
-4.48333,48.400002,2022,01,01,13,68.41,6.9
-4.48333,48.400002,2022,01,01,14,85.74,6.55
-4.48333,48.400002,2022,01,01,15,5.32,6.69
-4.48333,48.400002,2022,01,01,16,0.0,6.21
-4.48333,48.400002,2022,01,01,17,0.0,6.28
-4.48333,48.400002,2022,01,01,18,0.0,6.62
-4.48333,48.400002,2022,01,01,19,0.0,7.1
-4.48333,48.400002,2022,01,01,20,0.0,7.59
-4.48333,48.400002,2022,01,01,21,0.0,7.66
-4.48333,48.400002,2022,01,01,22,0.0,7.72
-4.48333,48.400002,2022,01,01,23,0.0,7.86
-4.48333,48.400002,2022,01,02,00,0.0,7.59
-4.48333,48.400002,2022,01,02,01,0.0,7.38
-4.48333,48.400002,2022,01,02,02,0.0,7.52
-4.48333,48.400002,2022,01,02,03,0.0,8.21
-4.48333,48.400002,2022,01,02,04,0.0,8.83
-4.48333,48.400002,2022,01,02,05,0.0,8.76
-4.48333,48.400002,2022,01,02,06,0.0,7.93
-4.48333,48.400002,2022,01,02,07,0.0,8.07
-4.48333,48.400002,2022,01,02,08,0.0,8.55
-4.48333,48.400002,2022,01,02,09,42.77,9.24
-4.48333,48.400002,2022,01,02,10,61.6,9.38
-4.48333,48.400002,2022,01,02,11,100.09,10.34
-4.48333,48.400002,2022,01,02,12,224.75,10.69
-4.48333,48.400002,2022,01,02,13,131.19,10.48
-4.48333,48.400002,2022,01,02,14,184.09,9.79
-4.48333,48.400002,2022,01,02,15,82.39,9.03
-4.48333,48.400002,2022,01,02,16,0.59,8.69
-4.48333,48.400002,2022,01,02,17,0.0,8.55
-4.48333,48.400002,2022,01,02,18,0.0,8.62
-4.48333,48.400002,2022,01,02,19,0.0,7.86
-4.48333,48.400002,2022,01,02,20,0.0,7.72
-4.48333,48.400002,2022,01,02,21,0.0,7.52
-4.48333,48.400002,2022,01,02,22,0.0,7.24
-4.48333,48.400002,2022,01,02,23,0.0,7.17
-4.48333,48.400002,2022,01,03,00,0.0,7.59
-4.48333,48.400002,2022,01,03,01,0.0,7.86
-4.48333,48.400002,2022,01,03,02,0.0,7.86
-4.48333,48.400002,2022,01,03,03,0.0,7.31
-4.48333,48.400002,2022,01,03,04,0.0,6.9
-4.48333,48.400002,2022,01,03,05,0.0,6.55
-4.48333,48.400002,2022,01,03,06,0.0,6.41
-4.48333,48.400002,2022,01,03,07,0.0,7.24
-4.48333,48.400002,2022,01,03,08,0.0,7.45
-4.48333,48.400002,2022,01,03,09,12.08,7.24
-4.48333,48.400002,2022,01,03,10,20.36,7.17
-4.48333,48.400002,2022,01,03,11,33.77,6.0
-4.48333,48.400002,2022,01,03,12,54.5,4.9
-4.48333,48.400002,2022,01,03,13,35.57,3.31
-4.48333,48.400002,2022,01,03,14,24.72,2.41
-4.48333,48.400002,2022,01,03,15,35.26,1.72
-4.48333,48.400002,2022,01,03,16,0.0,1.45
-4.48333,48.400002,2022,01,03,17,0.0,1.59
-4.48333,48.400002,2022,01,03,18,0.0,1.72
-4.48333,48.400002,2022,01,03,19,0.0,2.14
-4.48333,48.400002,2022,01,03,20,0.0,1.52
-4.48333,48.400002,2022,01,03,21,0.0,0.62
-4.48333,48.400002,2022,01,03,22,0.0,0.48
-4.48333,48.400002,2022,01,03,23,0.0,1.72
-4.48333,48.400002,2022,01,04,00,0.0,2.55
-4.48333,48.400002,2022,01,04,01,0.0,3.59
-4.48333,48.400002,2022,01,04,02,0.0,4.14
-4.48333,48.400002,2022,01,04,03,0.0,4.62
-4.48333,48.400002,2022,01,04,04,0.0,4.76
-4.48333,48.400002,2022,01,04,05,0.0,4.97
-4.48333,48.400002,2022,01,04,06,0.0,5.52
-4.48333,48.400002,2022,01,04,07,0.0,6.48
-4.48333,48.400002,2022,01,04,08,0.0,6.76
-4.48333,48.400002,2022,01,04,09,44.82,6.9
-4.48333,48.400002,2022,01,04,10,87.03,7.03
-4.48333,48.400002,2022,01,04,11,161.61,7.24
-4.48333,48.400002,2022,01,04,12,233.65,7.66
-4.48333,48.400002,2022,01,04,13,215.17,7.52
-4.48333,48.400002,2022,01,04,14,164.0,7.52
-4.48333,48.400002,2022,01,04,15,2.86,7.31
-4.48333,48.400002,2022,01,04,16,1.14,6.83
-4.48333,48.400002,2022,01,04,17,0.0,6.83
-4.48333,48.400002,2022,01,04,18,0.0,6.83
-4.48333,48.400002,2022,01,04,19,0.0,7.17
-4.48333,48.400002,2022,01,04,20,0.0,6.83
-4.48333,48.400002,2022,01,04,21,0.0,6.41
-4.48333,48.400002,2022,01,04,22,0.0,6.14
-4.48333,48.400002,2022,01,04,23,0.0,5.79
-4.48333,48.400002,2022,01,05,00,0.0,5.38
-4.48333,48.400002,2022,01,05,01,0.0,5.03
-4.48333,48.400002,2022,01,05,02,0.0,4.97
-4.48333,48.400002,2022,01,05,03,0.0,4.83
-4.48333,48.400002,2022,01,05,04,0.0,4.69
-4.48333,48.400002,2022,01,05,05,0.0,4.62
-4.48333,48.400002,2022,01,05,06,0.0,4.21
-4.48333,48.400002,2022,01,05,07,0.0,3.31
-4.48333,48.400002,2022,01,05,08,0.0,2.83
-4.48333,48.400002,2022,01,05,09,47.85,2.34
-4.48333,48.400002,2022,01,05,10,67.84,1.86
-4.48333,48.400002,2022,01,05,11,191.31,2.07
-4.48333,48.400002,2022,01,05,12,123.91,2.69
-4.48333,48.400002,2022,01,05,13,160.42,2.97
-4.48333,48.400002,2022,01,05,14,113.64,3.03
-4.48333,48.400002,2022,01,05,15,75.51,2.9
-4.48333,48.400002,2022,01,05,16,0.17,2.9
-4.48333,48.400002,2022,01,05,17,0.0,2.9
-4.48333,48.400002,2022,01,05,18,0.0,2.76
-4.48333,48.400002,2022,01,05,19,0.0,2.48
-4.48333,48.400002,2022,01,05,20,0.0,2.41
-4.48333,48.400002,2022,01,05,21,0.0,2.21
-4.48333,48.400002,2022,01,05,22,0.0,1.72
-4.48333,48.400002,2022,01,05,23,0.0,1.03
-4.48333,48.400002,2022,01,06,00,0.0,0.07
-4.48333,48.400002,2022,01,06,01,0.0,0.76
-4.48333,48.400002,2022,01,06,02,0.0,1.24
-4.48333,48.400002,2022,01,06,03,0.0,1.66
-4.48333,48.400002,2022,01,06,04,0.0,2.07
-4.48333,48.400002,2022,01,06,05,0.0,2.76
-4.48333,48.400002,2022,01,06,06,0.0,3.31
-4.48333,48.400002,2022,01,06,07,0.0,4.07
-4.48333,48.400002,2022,01,06,08,0.0,4.62
-4.48333,48.400002,2022,01,06,09,33.43,5.31
-4.48333,48.400002,2022,01,06,10,60.17,6.28
-4.48333,48.400002,2022,01,06,11,104.78,7.03
-4.48333,48.400002,2022,01,06,12,42.7,7.59
-4.48333,48.400002,2022,01,06,13,61.29,8.07
-4.48333,48.400002,2022,01,06,14,63.19,8.07
-4.48333,48.400002,2022,01,06,15,39.39,8.62
-4.48333,48.400002,2022,01,06,16,0.0,9.17
-4.48333,48.400002,2022,01,06,17,0.0,7.72
-4.48333,48.400002,2022,01,06,18,0.0,5.45
-4.48333,48.400002,2022,01,06,19,0.0,6.0
-4.48333,48.400002,2022,01,06,20,0.0,6.14
-4.48333,48.400002,2022,01,06,21,0.0,6.76
-4.48333,48.400002,2022,01,06,22,0.0,7.17
-4.48333,48.400002,2022,01,06,23,0.0,7.24
-4.48333,48.400002,2022,01,07,00,0.0,7.45
-4.48333,48.400002,2022,01,07,01,0.0,8.0
-4.48333,48.400002,2022,01,07,02,0.0,9.03
-4.48333,48.400002,2022,01,07,03,0.0,9.38
-4.48333,48.400002,2022,01,07,04,0.0,9.93
